"2021-10-11 21:09:02",
"2021-10-11 21:10:01",
"2021-10-11 21:11:01",
"2021-10-11 21:12:01",
"2021-10-11 21:13:01",
"2021-10-11 21:14:01",
"2021-10-11 21:15:01",
"2021-10-11 21:16:01",
"2021-10-11 21:17:01",
"2021-10-11 21:18:01",
"2021-10-11 21:19:01",
"2021-10-11 21:20:01",
"2021-10-11 21:21:01",
"2021-10-11 21:22:01",
"2021-10-11 22:05:01","hastebin - Kassel","43893","91.948","16.211","0","224805","2706847","1865948","36137538","https://www.speedtest.net/result/c/92bad760-54bb-4be9-80e1-9827cb26c0fa"
"2021-10-11 22:07:01","hastebin - Kassel","43893","204.143","17.793","0","154031","2790635","1934530","36758658","https://www.speedtest.net/result/c/5675c817-7644-40f5-8b42-e9dc4aa10402"
"2021-10-11 22:08:02","newone GmbH - Ilmenau","3823","53.855","41.809","0","303382","3698517","3787538","42648779","https://www.speedtest.net/result/c/299375b3-c10a-4d90-89c0-46d653f14c49"
"2021-10-11 22:09:01","Spacken.net - Hagen","15431","99.13","15.669","N/A","734693","2975436","8668506","40921456","https://www.speedtest.net/result/c/a3584401-7add-401c-a52b-e3a5f5efa84a"
"2021-10-11 22:10:01","hastebin - Kassel","43893","128.964","52.249","0","405085","3230248","5336874","34663672","https://www.speedtest.net/result/c/b734ca5c-1ed7-4a06-b86f-57df7762923d"
"2021-10-11 22:11:01","Heuer & Sack GbR - Wernigerode","21981","54.991","24.092","0","619245","3171631","8210378","43226070","https://www.speedtest.net/result/c/a0e72f94-b9ae-49e6-b227-8e4ae3ba1f96"
"2021-10-11 22:12:01","teliko GmbH - Limburg","40489","41.978","25.945","0","647090","3390804","7326628","46026286","https://www.speedtest.net/result/c/7aea0e0e-a26a-49fa-9bb6-e4e37cdf2386"
"2021-10-11 22:13:01","Spacken.net - Hagen","15431","39.804","23.476","N/A","543782","3043868","6908666","41254014","https://www.speedtest.net/result/c/b210374f-9591-4085-9732-a94257c5b82e"
"2021-10-11 22:16:01","newone GmbH - Ilmenau","3823","52.727","14.746","0","601260","2770485","7668244","38056540","https://www.speedtest.net/result/c/d7bd7f92-9728-45c7-a417-829a37fadfc3"
"2021-10-11 22:17:01","AlphaCron - Apfelstädt","36896","65.627","28.512","0","679098","2612457","7832582","36163418","https://www.speedtest.net/result/c/d52c1197-cbb4-46e7-b677-3faeb906110a"
"2021-10-11 22:18:01","Spacken.net - Hagen","15431","22.36","17.43","N/A","461279","2975864","4857676","39505820","https://www.speedtest.net/result/c/f6bf5c85-e97a-43bc-9751-c5d2c59b0c9f"
"2021-10-11 22:19:01","Spacken.net - Hagen","15431","115.239","21.178","N/A","649588","2823974","8337242","37747274","https://www.speedtest.net/result/c/1b85e147-0894-4747-b0af-e865eb8d902c"
"2021-10-11 22:20:01","Heuer & Sack GbR - Wernigerode","21981","140.881","17.213","0","156360","3088214","1878855","42175342","https://www.speedtest.net/result/c/50fc7d62-1639-4ba8-a804-7cb910f0f637"
"2021-10-11 22:21:01","Spacken.net - Hagen","15431","121.331","56.566","N/A","303314","3151509","3394162","43006090","https://www.speedtest.net/result/c/6e5a65aa-b0fa-4d2c-829e-efdda2caec27"
"2021-10-11 22:22:01","teliko GmbH - Limburg","40489","49.538","8.144","0","459969","2953238","4910730","41890662","https://www.speedtest.net/result/c/89ecdedd-7e26-437a-9b29-2ef109282081"
"2021-10-11 22:23:01","hastebin - Kassel","43893","72.005","15.578","0","418490","2751378","5263992","36605966","https://www.speedtest.net/result/c/0998d385-6105-4cde-9e16-fea8f1c357a0"
"2021-10-11 22:24:01","goetel GmbH - Göttingen","23610","32.05","32.363","0","561255","2882916","6868552","40328804","https://www.speedtest.net/result/c/b46c8c09-7c77-4f2d-86f1-a28349a978a7"
